scenario,case,role,ready,output_dir,target_line_ids,fleet,capacity,service_hours,pricing_group,monetary_treatment,rq1_structural,rq2_design,rq3_distribution,network_events,notes
B0,B0,baseline,1,/workspace/projects/matsim-berlin/output/B0-10pct-it0-200-t16,,0,0,,BASELINE,original fixed-route system,0,0,0,1,Common 10% Berlin counterfactual baseline
A4_FL,A,caseA_design,1,EDIT_ME,890---22435|890,4,4,,FL,priced DRT FL,0,1,1,0,Case A fleet/pricing sensitivity
A8_FL,A,caseA_design,1,EDIT_ME,890---22435|890,8,4,,FL,priced DRT FL,0,1,1,0,Case A fleet/pricing sensitivity
A12_FL,A,caseA_design,1,EDIT_ME,890---22435|890,12,4,,FL,priced DRT FL,0,1,1,0,Case A fleet/pricing sensitivity
A4_FH,A,caseA_design,1,EDIT_ME,890---22435|890,4,4,,FH,priced DRT FH,0,1,1,0,Case A fleet/pricing sensitivity
A8_FH,A,caseA_design,1,EDIT_ME,890---22435|890,8,4,,FH,priced DRT FH,0,1,1,0,Case A fleet/pricing sensitivity
A12_FH,A,caseA_design,1,EDIT_ME,890---22435|890,12,4,,FH,priced DRT FH,0,1,1,0,Case A fleet/pricing sensitivity
A8_FM,A,structural_control,1,EDIT_ME,890---22435|890,8,4,,FM,PT integrated zero extra DRT surcharge,1,1,1,1,Primary Case A structural control
A8_SUB1,A,policy_sensitivity,1,EDIT_ME,890---22435|890,8,4,,SUB1,PT tariff plus EUR1 per DRT trip,0,1,1,0,Low-surcharge policy sensitivity at fleet 8
B6_PTI,B,structural_robustness,0,/workspace/projects/matsim-berlin/output/B-FORMAL-435-10pct-6veh-4seat-PTI-200it,435---31682|435,6,4,18,PTI_ZERO,PT integrated zero extra DRT surcharge,1,0,1,1,Low-demand dual-hub robustness case; switch ready to 1 only when formal run completes
C22_PTI,C,high_demand_contrast,0,/workspace/projects/matsim-berlin/output/C-FORMAL-X36-10pct-22veh-12seat-PTI-200it,X36---34541|X36---13155|X36,22,12,20.5,PTI_ZERO,PT integrated zero extra DRT surcharge,1,0,1,1,High-demand high-utilisation bidirectional corridor; switch ready to 1 only when formal run completes
